,tradejoes_token,tradejoes_lemma,aldi_token,aldi_lemma,albertsons_token,albertsons_lemma,hyvee_token,hyvee_lemma,pigglywiggly_token,pigglywiggly_lemma
Rank 1,N/A: 0,N/A: 0,new: 15,price: 15,care: 17,care: 17,iowa: 35,iowa: 35,saunders: 8,c&s: 6
Rank 2,N/A: 0,N/A: 0,products: 13,new: 15,try: 15,try: 15,new: 23,year: 24,c&s: 6,saunder: 5
Rank 3,N/A: 0,N/A: 0,opens: 13,product: 14,deli: 14,deli: 14,opened: 23,new: 23,history: 4,history: 4
Rank 4,N/A: 0,N/A: 0,tab: 13,open: 13,load: 14,load: 14,year: 18,open: 23,wholesale: 4,wholesale: 4
Rank 5,N/A: 0,N/A: 0,fresh: 11,tab: 13,frozen: 10,shop: 12,vredenburg: 17,customer: 18,grocers: 4,grocers: 4
Rank 6,N/A: 0,N/A: 0,frozen: 11,fresh: 11,sorry: 8,frozen: 10,customers: 17,employee: 17,brands: 3,service: 4
Rank 7,N/A: 0,N/A: 0,cart: 10,frozen: 11,canned: 8,sorry: 8,introduced: 16,vredenburg: 17,contact: 3,brands: 3
Rank 8,N/A: 0,N/A: 0,supplies: 9,cart: 10,sign: 7,canned: 8,employees: 13,introduce: 16,korner: 3,contact: 3
Rank 9,N/A: 0,N/A: 0,snacks: 8,shop: 9,unable: 7,sign: 7,hyde: 11,service: 11,coloring: 3,korner: 3
Rank 10,N/A: 0,N/A: 0,meat: 8,supplies: 9,menu: 7,unable: 7,des: 11,hyde: 11,book: 3,coloring: 3
